Request Year:,2019
Test:,187
Test Description:,
TestRegime Name:,FirstCell dQdV C/25
TestRegime Suffix:,HWL
TestRegime CellSize:,Default cellsize
TestRegime Version:,1
Project Group Name:,Immediate
Project Group Description:,Immediate
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names:
LotID:,
Lot Description:,
Date Made:,1/21/2003 0:00
Origin:,Other
Requestor:,Admin
Product ID:,Default product
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,02/22/2019 16:21:35
End Time:,1/1/0001 0:00
Operator Instructions:,Also connect cell temp to channel TC-K and ambient temp to NTC
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2019,187,1,1,3272,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
187,1,SBT0550,001,1,,10,1,190150.183,186520,63458.971,97521,63458,02/24/2019 21:12:36,02/22/2019 16:23:26,3259.8836,-1640,44424.915,28908.04,148356.771,95961.307,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190170.183,186540,63478.971,97521,63478,02/24/2019 21:12:56,02/22/2019 16:23:26,3259.8472,-1640.1,44424.915,28917.151,148356.771,95991.007,30,0,0,0,0,0,0,0,26.03,25.3,,,,
187,1,SBT0550,001,1,,10,1,190190.183,186560,63498.971,97521,63498,02/24/2019 21:13:16,02/22/2019 16:23:26,3259.823,-1639.6,44424.915,28926.262,148356.771,96020.707,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190210.183,186580,63518.971,97521,63518,02/24/2019 21:13:36,02/22/2019 16:23:26,3259.6922,-1639.9,44424.915,28935.373,148356.771,96050.406,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190230.183,186600,63538.971,97521,63538,02/24/2019 21:13:56,02/22/2019 16:23:26,3259.8508,-1640.2,44424.915,28944.483,148356.771,96080.106,30,0,0,0,0,0,0,0,26.03,25.2,,,,
187,1,SBT0550,001,1,,10,1,190250.183,186620,63558.971,97521,63558,02/24/2019 21:14:16,02/22/2019 16:23:26,3259.882,-1640,44424.915,28953.594,148356.771,96109.805,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190270.183,186640,63578.971,97521,63578,02/24/2019 21:14:36,02/22/2019 16:23:26,3259.632,-1639.9,44424.915,28962.705,148356.771,96139.503,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190290.183,186660,63598.971,97521,63598,02/24/2019 21:14:56,02/22/2019 16:23:26,3259.6676,-1640.1,44424.915,28971.816,148356.771,96169.201,30,0,0,0,0,0,0,0,26.04,25.2,,,,
187,1,SBT0550,001,1,,10,1,190310.183,186680,63618.971,97521,63618,02/24/2019 21:15:16,02/22/2019 16:23:26,3259.7626,-1639.9,44424.915,28980.927,148356.771,96198.899,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190330.183,186700,63638.971,97521,63638,02/24/2019 21:15:36,02/22/2019 16:23:26,3259.852,-1639.8,44424.915,28990.037,148356.771,96228.598,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190350.183,186720,63658.971,97521,63658,02/24/2019 21:15:56,02/22/2019 16:23:26,3259.6168,-1639.8,44424.915,28999.148,148356.771,96258.296,30,0,0,0,0,0,0,0,26.04,25.3,,,,
187,1,SBT0550,001,1,,10,1,190370.183,186740,63678.971,97521,63678,02/24/2019 21:16:16,02/22/2019 16:23:26,3259.592,-1640.1,44424.915,29008.259,148356.771,96287.995,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190390.183,186760,63698.971,97521,63698,02/24/2019 21:16:36,02/22/2019 16:23:26,3259.511,-1640,44424.915,29017.37,148356.771,96317.691,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190410.183,186780,63718.971,97521,63718,02/24/2019 21:16:56,02/22/2019 16:23:26,3259.3568,-1640.1,44424.915,29026.481,148356.771,96347.388,30,0,0,0,0,0,0,0,26.03,25.2,,,,
187,1,SBT0550,001,1,,10,1,190430.183,186800,63738.971,97521,63738,02/24/2019 21:17:16,02/22/2019 16:23:26,3259.4894,-1639.9,44424.915,29035.592,148356.771,96377.085,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190450.183,186820,63758.971,97521,63758,02/24/2019 21:17:36,02/22/2019 16:23:26,3259.3984,-1639.9,44424.915,29044.702,148356.771,96406.783,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190470.183,186840,63778.971,97521,63778,02/24/2019 21:17:56,02/22/2019 16:23:26,3259.4752,-1640,44424.915,29053.813,148356.771,96436.478,30,0,0,0,0,0,0,0,26.03,25.3,,,,
187,1,SBT0550,001,1,,10,1,190490.183,186860,63798.971,97521,63798,02/24/2019 21:18:16,02/22/2019 16:23:26,3259.2022,-1640,44424.915,29062.924,148356.771,96466.173,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190510.183,186880,63818.971,97521,63818,02/24/2019 21:18:36,02/22/2019 16:23:26,3259.156,-1640.2,44424.915,29072.035,148356.771,96495.866,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190530.183,186900,63838.971,97521,63838,02/24/2019 21:18:56,02/22/2019 16:23:26,3259.1944,-1640.1,44424.915,29081.145,148356.771,96525.56,30,0,0,0,0,0,0,0,26.03,25.2,,,,
187,1,SBT0550,001,1,,10,1,190550.183,186920,63858.971,97521,63858,02/24/2019 21:19:16,02/22/2019 16:23:26,3259.101,-1640,44424.915,29090.256,148356.771,96555.255,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190570.183,186940,63878.971,97521,63878,02/24/2019 21:19:36,02/22/2019 16:23:26,3259.3082,-1640.1,44424.915,29099.367,148356.771,96584.949,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190590.183,186960,63898.971,97521,63898,02/24/2019 21:19:56,02/22/2019 16:23:26,3259.2232,-1640,44424.915,29108.478,148356.771,96614.644,30,0,0,0,0,0,0,0,26.03,25.2,,,,
187,1,SBT0550,001,1,,10,1,190610.183,186980,63918.971,97521,63918,02/24/2019 21:20:16,02/22/2019 16:23:26,3259.2312,-1639.6,44424.915,29117.589,148356.771,96644.339,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190630.183,187000,63938.971,97521,63938,02/24/2019 21:20:36,02/22/2019 16:23:26,3259.093,-1639.9,44424.915,29126.7,148356.771,96674.033,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190650.183,187020,63958.971,97521,63958,02/24/2019 21:20:56,02/22/2019 16:23:26,3259.0546,-1639.7,44424.915,29135.81,148356.771,96703.725,30,0,0,0,0,0,0,0,26.04,25.2,,,,
187,1,SBT0550,001,1,,10,1,190670.183,187040,63978.971,97521,63978,02/24/2019 21:21:16,02/22/2019 16:23:26,3258.9842,-1640,44424.915,29144.921,148356.771,96733.417,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190690.183,187060,63998.971,97521,63998,02/24/2019 21:21:36,02/22/2019 16:23:26,3259.0824,-1639.8,44424.915,29154.032,148356.771,96763.11,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190710.183,187080,64018.971,97521,64018,02/24/2019 21:21:56,02/22/2019 16:23:26,3259.0794,-1640,44424.915,29163.143,148356.771,96792.802,30,0,0,0,0,0,0,0,26.04,25.2,,,,
187,1,SBT0550,001,1,,10,1,190730.183,187100,64038.971,97521,64038,02/24/2019 21:22:16,02/22/2019 16:23:26,3258.8116,-1640,44424.915,29172.254,148356.771,96822.493,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190750.183,187120,64058.971,97521,64058,02/24/2019 21:22:36,02/22/2019 16:23:26,3258.8556,-1640.1,44424.915,29181.364,148356.771,96852.183,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190770.183,187140,64078.971,97521,64078,02/24/2019 21:22:56,02/22/2019 16:23:26,3258.9836,-1639.8,44424.915,29190.475,148356.771,96881.874,30,0,0,0,0,0,0,0,26.03,25.3,,,,
187,1,SBT0550,001,1,,10,1,190790.183,187160,64098.971,97521,64098,02/24/2019 21:23:16,02/22/2019 16:23:26,3258.9994,-1639.8,44424.915,29199.586,148356.771,96911.566,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190810.183,187180,64118.971,97521,64118,02/24/2019 21:23:36,02/22/2019 16:23:26,3258.7742,-1639.8,44424.915,29208.697,148356.771,96941.257,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190830.183,187200,64138.971,97521,64138,02/24/2019 21:23:56,02/22/2019 16:23:26,3258.8878,-1639.9,44424.915,29217.808,148356.771,96970.947,30,0,0,0,0,0,0,0,26.03,25.2,,,,
187,1,SBT0550,001,1,,10,1,190850.183,187220,64158.971,97521,64158,02/24/2019 21:24:16,02/22/2019 16:23:26,3258.5698,-1640,44424.915,29226.918,148356.771,97000.638,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190870.183,187240,64178.971,97521,64178,02/24/2019 21:24:36,02/22/2019 16:23:26,3258.6796,-1639.9,44424.915,29236.029,148356.771,97030.327,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190890.183,187260,64198.971,97521,64198,02/24/2019 21:24:56,02/22/2019 16:23:26,3258.7918,-1640,44424.915,29245.14,148356.771,97060.016,30,0,0,0,0,0,0,0,26.03,25.2,,,,
187,1,SBT0550,001,1,,10,1,190910.183,187280,64218.971,97521,64218,02/24/2019 21:25:16,02/22/2019 16:23:26,3258.4972,-1640,44424.915,29254.251,148356.771,97089.705,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190930.183,187300,64238.971,97521,64238,02/24/2019 21:25:36,02/22/2019 16:23:26,3258.5018,-1639.9,44424.915,29263.362,148356.771,97119.393,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190950.183,187320,64258.971,97521,64258,02/24/2019 21:25:56,02/22/2019 16:23:26,3258.4158,-1639.9,44424.915,29272.472,148356.771,97149.08,30,0,0,0,0,0,0,0,26.03,25.2,,,,
187,1,SBT0550,001,1,,10,1,190970.183,187340,64278.971,97521,64278,02/24/2019 21:26:16,02/22/2019 16:23:26,3258.6594,-1640.2,44424.915,29281.583,148356.771,97178.768,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,190990.183,187360,64298.971,97521,64298,02/24/2019 21:26:36,02/22/2019 16:23:26,3258.389,-1640.2,44424.915,29290.694,148356.771,97208.455,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191010.183,187380,64318.971,97521,64318,02/24/2019 21:26:56,02/22/2019 16:23:26,3258.5904,-1640,44424.915,29299.805,148356.771,97238.143,30,0,0,0,0,0,0,0,26.03,25.2,,,,
187,1,SBT0550,001,1,,10,1,191030.183,187400,64338.971,97521,64338,02/24/2019 21:27:16,02/22/2019 16:23:26,3258.4698,-1640,44424.915,29308.916,148356.771,97267.83,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191050.183,187420,64358.971,97521,64358,02/24/2019 21:27:36,02/22/2019 16:23:26,3258.3656,-1639.6,44424.915,29318.026,148356.771,97297.516,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191070.183,187440,64378.971,97521,64378,02/24/2019 21:27:56,02/22/2019 16:23:26,3258.38,-1639.9,44424.915,29327.137,148356.771,97327.203,30,0,0,0,0,0,0,0,26.04,25.3,,,,
187,1,SBT0550,001,1,,10,1,191090.183,187460,64398.971,97521,64398,02/24/2019 21:28:16,02/22/2019 16:23:26,3258.488,-1640.1,44424.915,29336.248,148356.771,97356.889,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191110.183,187480,64418.971,97521,64418,02/24/2019 21:28:36,02/22/2019 16:23:26,3258.5346,-1640.1,44424.915,29345.359,148356.771,97386.575,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191130.183,187500,64438.971,97521,64438,02/24/2019 21:28:56,02/22/2019 16:23:26,3258.1004,-1640.1,44424.915,29354.47,148356.771,97416.26,30,0,0,0,0,0,0,0,26.03,25.2,,,,
187,1,SBT0550,001,1,,10,1,191150.183,187520,64458.971,97521,64458,02/24/2019 21:29:16,02/22/2019 16:23:26,3258.2148,-1639.9,44424.915,29363.58,148356.771,97445.945,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191170.183,187540,64478.971,97521,64478,02/24/2019 21:29:36,02/22/2019 16:23:26,3258.3342,-1639.8,44424.915,29372.691,148356.771,97475.631,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191190.183,187560,64498.971,97521,64498,02/24/2019 21:29:56,02/22/2019 16:23:26,3258.2898,-1640,44424.915,29381.802,148356.771,97505.316,30,0,0,0,0,0,0,0,26.05,25.2,,,,
187,1,SBT0550,001,1,,10,1,191210.183,187580,64518.971,97521,64518,02/24/2019 21:30:16,02/22/2019 16:23:26,3258.2904,-1640,44424.915,29390.913,148356.771,97535.001,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191230.183,187600,64538.971,97521,64538,02/24/2019 21:30:36,02/22/2019 16:23:26,3258.1688,-1640.1,44424.915,29400.024,148356.771,97564.686,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191250.183,187620,64558.971,97521,64558,02/24/2019 21:30:56,02/22/2019 16:23:26,3257.8924,-1640.1,44424.915,29409.134,148356.771,97594.371,30,0,0,0,0,0,0,0,26.04,25.2,,,,
187,1,SBT0550,001,1,,10,1,191270.183,187640,64578.971,97521,64578,02/24/2019 21:31:16,02/22/2019 16:23:26,3257.964,-1640.1,44424.915,29418.245,148356.771,97624.055,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191290.183,187660,64598.971,97521,64598,02/24/2019 21:31:36,02/22/2019 16:23:26,3258.142,-1639.9,44424.915,29427.356,148356.771,97653.739,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191310.183,187680,64618.971,97521,64618,02/24/2019 21:31:56,02/22/2019 16:23:26,3257.8324,-1639.8,44424.915,29436.467,148356.771,97683.423,30,0,0,0,0,0,0,0,26.03,25.3,,,,
187,1,SBT0550,001,1,,10,1,191330.183,187700,64638.971,97521,64638,02/24/2019 21:32:16,02/22/2019 16:23:26,3258.0186,-1640,44424.915,29445.578,148356.771,97713.105,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191350.183,187720,64658.971,97521,64658,02/24/2019 21:32:36,02/22/2019 16:23:26,3257.9636,-1640,44424.915,29454.688,148356.771,97742.788,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191370.183,187740,64678.971,97521,64678,02/24/2019 21:32:56,02/22/2019 16:23:26,3257.8654,-1640,44424.915,29463.799,148356.771,97772.47,30,0,0,0,0,0,0,0,26.04,25.2,,,,
187,1,SBT0550,001,1,,10,1,191390.183,187760,64698.971,97521,64698,02/24/2019 21:33:16,02/22/2019 16:23:26,3257.8392,-1640,44424.915,29472.91,148356.771,97802.151,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191410.183,187780,64718.971,97521,64718,02/24/2019 21:33:36,02/22/2019 16:23:26,3257.7516,-1640,44424.915,29482.021,148356.771,97831.832,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191430.183,187800,64738.971,97521,64738,02/24/2019 21:33:56,02/22/2019 16:23:26,3257.526,-1639.9,44424.915,29491.131,148356.771,97861.512,30,0,0,0,0,0,0,0,26.03,25.3,,,,
187,1,SBT0550,001,1,,10,1,191450.183,187820,64758.971,97521,64758,02/24/2019 21:34:16,02/22/2019 16:23:26,3257.7874,-1639.9,44424.915,29500.242,148356.771,97891.192,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191470.183,187840,64778.971,97521,64778,02/24/2019 21:34:36,02/22/2019 16:23:26,3257.7302,-1639.7,44424.915,29509.353,148356.771,97920.872,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191490.183,187860,64798.971,97521,64798,02/24/2019 21:34:56,02/22/2019 16:23:26,3257.5648,-1640.1,44424.915,29518.464,148356.771,97950.552,30,0,0,0,0,0,0,0,26.04,25.3,,,,
187,1,SBT0550,001,1,,10,1,191510.183,187880,64818.971,97521,64818,02/24/2019 21:35:16,02/22/2019 16:23:26,3257.5918,-1639.9,44424.915,29527.575,148356.771,97980.231,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191530.183,187900,64838.971,97521,64838,02/24/2019 21:35:36,02/22/2019 16:23:26,3257.5626,-1640.2,44424.915,29536.686,148356.771,98009.911,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191550.183,187920,64858.971,97521,64858,02/24/2019 21:35:56,02/22/2019 16:23:26,3257.6876,-1639.9,44424.915,29545.796,148356.771,98039.59,30,0,0,0,0,0,0,0,26.05,25.2,,,,
187,1,SBT0550,001,1,,10,1,191570.183,187940,64878.971,97521,64878,02/24/2019 21:36:16,02/22/2019 16:23:26,3257.5036,-1639.9,44424.915,29554.907,148356.771,98069.269,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191590.183,187960,64898.971,97521,64898,02/24/2019 21:36:36,02/22/2019 16:23:26,3257.4834,-1640,44424.915,29564.018,148356.771,98098.947,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191610.183,187980,64918.971,97521,64918,02/24/2019 21:36:56,02/22/2019 16:23:26,3257.5002,-1639.7,44424.915,29573.129,148356.771,98128.625,30,0,0,0,0,0,0,0,26.04,25.3,,,,
187,1,SBT0550,001,1,,10,1,191630.183,188000,64938.971,97521,64938,02/24/2019 21:37:16,02/22/2019 16:23:26,3257.4948,-1640,44424.915,29582.24,148356.771,98158.304,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191650.183,188020,64958.971,97521,64958,02/24/2019 21:37:36,02/22/2019 16:23:26,3257.1976,-1639.8,44424.915,29591.35,148356.771,98187.98,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191670.183,188040,64978.971,97521,64978,02/24/2019 21:37:56,02/22/2019 16:23:26,3256.934,-1639.8,44424.915,29600.461,148356.771,98217.655,30,0,0,0,0,0,0,0,26.05,25.2,,,,
187,1,SBT0550,001,1,,10,1,191690.183,188060,64998.971,97521,64998,02/24/2019 21:38:16,02/22/2019 16:23:26,3257.2782,-1639.9,44424.915,29609.572,148356.771,98247.331,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191710.183,188080,65018.971,97521,65018,02/24/2019 21:38:36,02/22/2019 16:23:26,3257.297,-1639.9,44424.915,29618.683,148356.771,98277.007,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191730.183,188100,65038.971,97521,65038,02/24/2019 21:38:56,02/22/2019 16:23:26,3257.118,-1640,44424.915,29627.794,148356.771,98306.682,30,0,0,0,0,0,0,0,26.05,25.3,,,,
187,1,SBT0550,001,1,,10,1,191750.183,188120,65058.971,97521,65058,02/24/2019 21:39:16,02/22/2019 16:23:26,3257.1256,-1639.9,44424.915,29636.904,148356.771,98336.357,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191770.183,188140,65078.971,97521,65078,02/24/2019 21:39:36,02/22/2019 16:23:26,3257.026,-1640,44424.915,29646.015,148356.771,98366.032,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191790.183,188160,65098.971,97521,65098,02/24/2019 21:39:56,02/22/2019 16:23:26,3257.1784,-1639.6,44424.915,29655.126,148356.771,98395.706,30,0,0,0,0,0,0,0,26.05,25.3,,,,
187,1,SBT0550,001,1,,10,1,191810.183,188180,65118.971,97521,65118,02/24/2019 21:40:16,02/22/2019 16:23:26,3256.9946,-1639.8,44424.915,29664.237,148356.771,98425.38,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191830.183,188200,65138.971,97521,65138,02/24/2019 21:40:36,02/22/2019 16:23:26,3256.978,-1639.9,44424.915,29673.347,148356.771,98455.054,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191850.183,188220,65158.971,97521,65158,02/24/2019 21:40:56,02/22/2019 16:23:26,3257.211,-1640.1,44424.915,29682.458,148356.771,98484.728,30,0,0,0,0,0,0,0,26.04,25.3,,,,
187,1,SBT0550,001,1,,10,1,191870.183,188240,65178.971,97521,65178,02/24/2019 21:41:16,02/22/2019 16:23:26,3256.9578,-1640.2,44424.915,29691.569,148356.771,98514.401,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191890.183,188260,65198.971,97521,65198,02/24/2019 21:41:36,02/22/2019 16:23:26,3256.8256,-1640.1,44424.915,29700.68,148356.771,98544.074,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191910.183,188280,65218.971,97521,65218,02/24/2019 21:41:56,02/22/2019 16:23:26,3256.8438,-1639.8,44424.915,29709.79,148356.771,98573.747,30,0,0,0,0,0,0,0,26.04,25.3,,,,
187,1,SBT0550,001,1,,10,1,191930.183,188300,65238.971,97521,65238,02/24/2019 21:42:16,02/22/2019 16:23:26,3256.9698,-1639.8,44424.915,29718.901,148356.771,98603.419,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191950.183,188320,65258.971,97521,65258,02/24/2019 21:42:36,02/22/2019 16:23:26,3256.9184,-1640.1,44424.915,29728.012,148356.771,98633.092,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,191970.183,188340,65278.971,97521,65278,02/24/2019 21:42:56,02/22/2019 16:23:26,3256.8582,-1640.2,44424.915,29737.123,148356.771,98662.765,30,0,0,0,0,0,0,0,26.05,25.2,,,,
187,1,SBT0550,001,1,,10,1,191990.183,188360,65298.971,97521,65298,02/24/2019 21:43:16,02/22/2019 16:23:26,3256.861,-1640.2,44424.915,29746.234,148356.771,98692.438,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192010.183,188380,65318.971,97521,65318,02/24/2019 21:43:36,02/22/2019 16:23:26,3256.6606,-1639.9,44424.915,29755.344,148356.771,98722.11,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192030.183,188400,65338.971,97521,65338,02/24/2019 21:43:56,02/22/2019 16:23:26,3256.7896,-1639.9,44424.915,29764.455,148356.771,98751.78,30,0,0,0,0,0,0,0,26.05,25.3,,,,
187,1,SBT0550,001,1,,10,1,192050.183,188420,65358.971,97521,65358,02/24/2019 21:44:16,02/22/2019 16:23:26,3256.6494,-1639.9,44424.915,29773.566,148356.771,98781.45,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192070.183,188440,65378.971,97521,65378,02/24/2019 21:44:36,02/22/2019 16:23:26,3256.5482,-1639.8,44424.915,29782.677,148356.771,98811.12,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192090.183,188460,65398.971,97521,65398,02/24/2019 21:44:56,02/22/2019 16:23:26,3256.4514,-1639.7,44424.915,29791.787,148356.771,98840.79,30,0,0,0,0,0,0,0,26.05,25.2,,,,
187,1,SBT0550,001,1,,10,1,192110.183,188480,65418.971,97521,65418,02/24/2019 21:45:16,02/22/2019 16:23:26,3256.491,-1639.9,44424.915,29800.898,148356.771,98870.459,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192130.183,188500,65438.971,97521,65438,02/24/2019 21:45:36,02/22/2019 16:23:26,3256.5698,-1639.8,44424.915,29810.009,148356.771,98900.128,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192150.183,188520,65458.971,97521,65458,02/24/2019 21:45:56,02/22/2019 16:23:26,3256.591,-1640.1,44424.915,29819.12,148356.771,98929.797,30,0,0,0,0,0,0,0,26.04,25.2,,,,
187,1,SBT0550,001,1,,10,1,192170.183,188540,65478.971,97521,65478,02/24/2019 21:46:16,02/22/2019 16:23:26,3256.4532,-1639.9,44424.915,29828.23,148356.771,98959.466,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192190.183,188560,65498.971,97521,65498,02/24/2019 21:46:36,02/22/2019 16:23:26,3256.204,-1640.1,44424.915,29837.341,148356.771,98989.135,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192210.183,188580,65518.971,97521,65518,02/24/2019 21:46:56,02/22/2019 16:23:26,3256.232,-1639.9,44424.915,29846.452,148356.771,99018.803,30,0,0,0,0,0,0,0,26.04,25.2,,,,
187,1,SBT0550,001,1,,10,1,192230.183,188600,65538.971,97521,65538,02/24/2019 21:47:16,02/22/2019 16:23:26,3256.208,-1640.1,44424.915,29855.563,148356.771,99048.47,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192250.183,188620,65558.971,97521,65558,02/24/2019 21:47:36,02/22/2019 16:23:26,3256.2264,-1639.8,44424.915,29864.674,148356.771,99078.137,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192270.183,188640,65578.971,97521,65578,02/24/2019 21:47:56,02/22/2019 16:23:26,3256.1824,-1640,44424.915,29873.784,148356.771,99107.805,30,0,0,0,0,0,0,0,26.04,25.2,,,,
187,1,SBT0550,001,1,,10,1,192290.183,188660,65598.971,97521,65598,02/24/2019 21:48:16,02/22/2019 16:23:26,3256.1146,-1639.8,44424.915,29882.895,148356.771,99137.472,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192310.183,188680,65618.971,97521,65618,02/24/2019 21:48:36,02/22/2019 16:23:26,3256.2018,-1639.7,44424.915,29892.006,148356.771,99167.138,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,10,1,192330.183,188700,65638.971,97521,65638,02/24/2019 21:48:56,02/22/2019 16:23:26,3256.2402,-1640,44424.915,29901.117,148356.771,99196.805,30,0,0,0,0,0,0,0,26.05,25.3,,,,
